"DisplayName","AppId","ObjectId","ServicePrincipalType","AccountEnabled","CreatedDateTime","LastSignInDateTime","Owners","SignInAudience","HomepageURL","Tags","SecretExpiryDates","CertificateExpiryDates","ApiPermissions","AppRoleAssignments"
"Microsoft Cloud App Security","05a65629-4c1b-48c1-a78b-804c4abdd4af","c83d8d37-3d65-4ef1-a757-84f14758bbb8","Application","False","Unknown","No sign-in found","App object not found","N/A",,"","None","None","None","None"
"Microsoft Discovery Service","6f82282e-0070-4e78-bc23-e6320c5fa7de","c9e64aad-c7d2-4ce2-b5b4-b5b3dcde7c20","Application","True","Unknown","No sign-in found","App object not found","N/A",,"","None","None","None","None"
"Microsoft Operations Management Suite","d2a0a418-0aac-4541-82b2-b3142c89da77","ca329256-cbc8-4b2f-8908-62354ce28874","Application","True","Unknown","No sign-in found","App object not found","N/A",,"","None","None","None","None"
"DfMGraphApp","380e9762-7111-490b-800b-0dd9857ca41a","ca7c7f51-7bbb-4854-b70d-1599faf48cf9","Application","True","Unknown","No sign-in found","App object not found","N/A",,"","None","None","None","None"
"Azure Data Lake","e9f49c6b-5ce5-44c8-925d-015017e9f7ad","cb39b279-0fa7-456c-bd98-5600da5c8e82","Application","True","Unknown","No sign-in found","App object not found","N/A",,"disableAcceptingTenantedPassthroughTokens; disableRequestingTenantedPassthroughTokens; disableLegacyUserImpersonationResource","None","None","None","None"
"Azure Spring Cloud Resource Provider","e8de9221-a19c-4c81-b814-fd37c6caf9d2","cbb49778-9036-490f-991f-275021335085","Application","True","Unknown","No sign-in found","App object not found","N/A",,"","None","None","None","None"
"MDATPNetworkScanAgent","04687a56-4fc2-4e36-b274-b862fb649733","cc29b1f3-c850-48f9-8271-33dc09ea6bd1","Application","True","Unknown","No sign-in found","App object not found","N/A",,"","None","None","None","None"
"O365 Demeter","982bda36-4632-4165-a46a-9863b1bbcf7d","cc565190-c47e-41c0-96d8-a33a14d9a5c8","Application","True","Unknown","No sign-in found","App object not found","N/A",,"","None","None","None","None"
"Microsoft Graph Command Line Tools","14d82eec-204b-4c2f-b7e8-296a70dab67e","cc6611e2-75b0-4fda-9223-5b78cd7a2028","Application","True","Unknown","No sign-in found","App object not found","N/A","https://docs.microsoft.com/en-us/graph/powershell/get-started","WindowsAzureActiveDirectoryIntegratedApp","None","None","Resource: 10f06858-e515-4173-a2de-4d882e6ff75d | Scope:  Application.Read.All AppRoleAssignment.ReadWrite.All Directory.Read.All AuditLog.Read.All openid profile offline_access","None"
"AML Registries","44b7b882-eb46-485c-9c78-686f6b67b176","cc8961ec-c12b-43a5-a15a-5035972e249c","Application","True","Unknown","No sign-in found","App object not found","N/A",,"","None","None","None","None"
